PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Surname,Maiden Name,First Surname,Second Surname,Group
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,Asplund,Johansson,Asplund,,5
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,Emir,,Emir,,442
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,Fortune,,Fortune,,105
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,O'Dwyer,,O'Dwyer,,443
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,Todoroff,,Todoroff,,444
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,Uruchurtu,,Uruchurtu,,239
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,Spencer,Eugenie,Spencer,,45
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,Glynn,,Glynn,,445
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S,Wheadon,,Wheadon,,327
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,Meyer,,Meyer,,89
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,Holverson,,Holverson,,90
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,Mamee,,Mamee,,446
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,Cann,,Cann,,447
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,Vander Planke,,Vander Planke,,65
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,Nicola-Yarred,,Nicola,Yarred,202
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,Ahlin,Larsson,Ahlin,,16
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,Turpin,Wonnacott,Turpin,,135
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,Kraeff,,Kraeff,,448
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,Laroche,,Laroche,,152
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,Devaney,,Devaney,,449
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,Rogers,,Rogers,,450
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,Lennon,,Lennon,,451
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,O'Driscoll,,O'Driscoll,,452
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,Samaan,,Samaan,,453
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,Arnold-Franchi,Franchi,Arnold,Franchi,174
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,Panula,,Panula,,71
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,Nosworthy,,Nosworthy,,454
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C,Harper,Haxtun,Harper,,46
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,Faunthorpe,Wilkinson,Faunthorpe,,136
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,Ostby,,Ostby,,240
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,Woolner,,Woolner,,241
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,Rugg,,Rugg,,328
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,Novel,,Novel,,455
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,West,,West,,149
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,Goodwin,,Goodwin,,187
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,Sirayanian,,Sirayanian,,456
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B28,,Icard,,Icard,,0
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,Harris,,Harris,,86
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,Skoog,,Skoog,,21
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,Stewart,,Stewart,,242
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,Moubarek,,Moubarek,,24
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,Nye,Ramell,Nye,,137
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,Crease,,Crease,,457
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,Andersson,,Andersson,,3
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,Kink,,Kink,,39
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,Jenkin,,Jenkin,,329
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,Goodwin,,Goodwin,,187
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,Hood,,Hood,,4
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,Chronopoulos,,Chronopoulos,,458
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,Bing,,Bing,,12
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,Moen,,Moen,,459
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,Staneff,,Staneff,,460
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,Moutal,,Moutal,,461
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,Caldwell,,Caldwell,,144
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,Dowdell,,Dowdell,,207
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,Waelens,,Waelens,,462
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,Sheerlinck,,Sheerlinck,,463
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,McDermott,,McDermott,,464
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,Carrau,,Carrau,,243
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,Ilett,,Ilett,,330
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,Backstrom,Gustafsson,Backstrom,,11
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,Ford,,Ford,,23
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,Slocovski,,Slocovski,,465
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Fortune,,Fortune,,105
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,Celotti,,Celotti,,466
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,Christmann,,Christmann,,467
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,Andreasson,,Andreasson,,468
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,Chaffee,,Chaffee,,103
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,Dean,,Dean,,195
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,Coxon,,Coxon,,469
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,Shorney,,Shorney,,470
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A5,C,Goldschmidt,,Goldschmidt,,244
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,Greenfield,,Greenfield,,113
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,Doling,Bone,Doling,,138
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,Kantor,,Kantor,,143
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,Petranec,,Petranec,,471
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,Petroff,,Petroff,,208
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S,White,,White,,14
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,Johansson,,Johansson,,5
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,Gustafsson,,Gustafsson,,11
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,Mionoff,,Mionoff,,472
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S,Salkjelsvik,,Salkjelsvik,,473
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,Moss,,Moss,,474
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S,Rekic,,Rekic,,475
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,Moran,,Moran,,40
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,Porter,,Porter,,125
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,Zabour,,Zabour,,476
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,Barton,,Barton,,477
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,Jussila,,Jussila,,74
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,Attalah,,Attalah,,75
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,S,Pekoniemi,,Pekoniemi,,478
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,Connors,,Connors,,479
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S,Turpin,,Turpin,,135
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,Baxter,,Baxter,,13
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,,S,Andersson,,Andersson,,3
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,,S,Hickman,,Hickman,,4
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,Moore,,Moore,,480
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,Nasser,,Nasser,,133
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,Webber,,Webber,,331
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,White,,White,,14
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,Nicola-Yarred,,Nicola,Yarred,202
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,McMahon,,McMahon,,481
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,Madsen,,Madsen,,482
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,Peter,,Peter,,184
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,,S,Ekstrom,,Ekstrom,,483
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C,Drazenoic,,Drazenoic,,484
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,Coelho,,Coelho,,485
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,,S,Robins,Laury,Robins,,175
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,Weisz,Pede,Weisz,,139
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S,Sobey,,Sobey,,332
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C,Richard,,Richard,,333
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,Newsom,,Newsom,,245
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,Futrelle,,Futrelle,,83
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,,S,Osen,,Osen,,11
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,Giglio,,Giglio,,126
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,Boulos,,Boulos,,38
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,,S,Nysten,,Nysten,,486
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,,S,Hakkarainen,Dolck,Hakkarainen,,176
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,,Q,Burke,,Burke,,487
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,S,Andrew,,Andrew,,165
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,S,Nicholls,,Nicholls,,4
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S,Andersson,,Andersson,,3
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,,S,Ford,,Ford,,23
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,Navratil,,Navratil,,334
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,S,Byles,,Byles,,335
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,S,Bateman,,Bateman,,336
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S,Pears,Wearne,Pears,,84
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,Meo,,Meo,,488
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,van Billiard,,van Billiard,,489
155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,Olsen,,Olsen,,2
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,,C,Williams,,Williams,,54
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,,Q,Gilnagh,,Gilnagh,,490
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,S,Corn,,Corn,,491
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,Smiljanic,,Smiljanic,,492
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,Sage,,Sage,,201
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,,S,Cribb,,Cribb,,493
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,,S,Watt,Milne,Watt,,140
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,S,Bengtsson,,Bengtsson,,69
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,,S,Calic,,Calic,,209
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,,S,Panula,,Panula,,71
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,,S,Goldsmith,,Goldsmith,,68
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55.0,E33,S,Chibnall,Bowerman,Chibnall,,85
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,,S,Skoog,Karlsson,Skoog,,21
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,Baumann,,Baumann,,246
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,,S,Ling,,Ling,,12
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S,Van der hoef,,Van der hoef,,247
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q,Rice,,Rice,,192
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,,S,Johnson,,Johnson,,15
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,,S,Sivola,,Sivola,,494
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C,Smith,,Smith,,32
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S,Klasen,,Klasen,,73
177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,Lefebre,,Lefebre,,495
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,C,Isham,,Isham,,248
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,,S,Hale,,Hale,,337
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,Leonard,,Leonard,,15
181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,Sage,,Sage,,201
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,Pernot,,Pernot,,338
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,,S,Asplund,,Asplund,,5
184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,Becker,,Becker,,157
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,,S,Kink-Heilmann,,Kink,Heilmann,39
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,A32,S,Rood,,Rood,,249
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,O'Brien,Godfrey,O'Brien,,66
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,S,Romaine,,Romaine,,250
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,,Q,Bourke,,Bourke,,210
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,,S,Turcin,,Turcin,,496
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,,S,Pinsky,,Pinsky,,339
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,S,Carbines,,Carbines,,340
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S,Andersen-Jensen,,Andersen,Jensen,2
194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,Navratil,,Navratil,,334
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,C,Brown,Tobin,Brown,,8
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C,Lurette,,Lurette,,45
197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,Mernagh,,Mernagh,,497
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,,S,Olsen,,Olsen,,2
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,Madigan,,Madigan,,498
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,,S,Yrois,,Yrois,,341
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,,S,Vande Walle,,Vande Walle,,499
202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,Sage,,Sage,,201
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,,S,Johanson,,Johanson,,500
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,Youseff,,Youseff,,501
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,Cohen,,Cohen,,502
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S,Strom,,Strom,,22
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,,S,Backstrom,,Backstrom,,11
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,,C,Albimona,,Albimona,,211
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,,Q,Carr,,Carr,,212
210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C,Blank,,Blank,,251
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S,Ali,,Ali,,213
212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,,S,Cameron,,Cameron,,166
213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,,S,Perkin,,Perkin,,503
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,S,Givard,,Givard,,342
215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q,Kiernan,,Kiernan,,214
216,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C,Newell,,Newell,,252
217,1,3,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283,7.925,,S,Honkanen,,Honkanen,,504
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,,S,Jacobsohn,,Jacobsohn,,35
219,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C,Bazzani,,Bazzani,,9
220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,S,Harris,,Harris,,167
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S,Sunderland,,Sunderland,,505
222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,,S,Bracken,,Bracken,,343
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,,S,Green,,Green,,506
224,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,Nenkoff,,Nenkoff,,507
